Source Page,Event Date,Number of Shows,Headliner,Support,Venue,City,State,Country,Market,Venue Type,Currency,Promoter,Genre,Tickets Sold,Gross USD,Event Capacity,Capacity Sold %,Min Price USD,Max Price USD,Avg Price USD,Actions
Page 2,4/5/2024,1,Sugar Sammy,,City Winery Atlanta,Atlanta,Georgia,United States,Atlanta,Club,US DOLLAR,(In-House Promotion),Comedy,225,7945.00,312,72%,25.00,40.00,35.31,
Page 2,4/5/2024,1,Ali Siddiq,,Cobb Energy Performing Arts Centre,Atlanta,Georgia,United States,Atlanta,Auditorium / Theatre,US DOLLAR,"Outback Presents, LLC",Comedy,"2,667",117599.00,"2,667",100%,25.00,45.00,44.09,
Page 2,4/5/2024,1,Big Special,Grandmas House,Yellow Arch Studios,Sheffield,,United Kingdom,,Auditorium / Theatre,Pound Sterling,DEAG / KMJ Entertainment,Pop / Rock,150,2367.37,170,88%,15.78,15.78,15.78,
Page 2,4/5/2024,1,Pierce The Veil,"Dayseeker, Holding Absence",The Motorpoint Arena Nottingham,Nottingham,,United Kingdom,,Arena,Pound Sterling,DEAG / KMJ Entertainment,Pop / Rock,"6,664",288229.55,"7,629",87%,42.30,157.82,43.25,
Page 2,4/5/2024,5,"""Jagged Little Pill - The Musical""",,Hanover Theatre For Perf. Arts,Worcester,Massachusetts,United States,Boston (Manchester),Auditorium / Theatre,US DOLLAR,(In-House Promotion),Theatrical,"1,823",102562.38,"2,271",80%,39.00,89.00,56.24,
Page 2,4/5/2024,1,Pat Metheny,,Mayo Performing Arts Center,Morristown,New Jersey,United States,New York,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Jazz,"1,207",96228.40,"1,222",98%,56.00,96.00,79.73,
Page 2,4/5/2024,1,One Vision of Queen feat. Marc Martel,,Grand Theater,Wausau,Wisconsin,United States,Wausau-Rhinelander,Auditorium / Theatre,US DOLLAR,"(In-House Promotion), Brennan Sheehafer Productions","Pop / Rock, Tribute Acts","1,148",63116.00,"1,148",100%,45.00,75.00,54.98,
Page 2,4/5/2024,2,Kevin James,Richie Minervini,Barbara B. Mann Perf. Arts Hall,Fort Myers,Florida,United States,Fort Myers-Naples,Auditorium / Theatre,US DOLLAR,"(In-House Promotion), AEG Presents, Professional Facilities Mgmt.",Comedy,"1,392",121877.17,"1,859",74%,49.50,175.00,87.52,
Page 2,4/5/2024,1,Alabama,Diamond Rio,The BayCare Sound,Clearwater,Florida,United States,Tampa-St. Petersburg (Sarasota),Amphitheatre,US DOLLAR,"AEG Presents, Ruth Eckerd Hall Presents",Country,"3,514",307618.00,"5,000",70%,49.50,149.50,87.54,
Page 2,4/5/2024,1,The Classic Rock Show,,Bilheimer Capitol Theatre,Clearwater,Florida,United States,Tampa-St. Petersburg (Sarasota),Club,US DOLLAR,Ruth Eckerd Hall Presents,Pop / Rock,631,38724.00,650,97%,39.50,65.50,61.37,
Page 2,4/5/2024,1,Sleater-Kinney,Black Belt Eagle Scout,McMenamins Crystal Ballroom,Portland,Oregon,United States,"Portland, OR",Club,US DOLLAR,McMenamins Presents,Pop / Rock,"1,448",56813.00,"1,448",100%,39.50,55.00,39.24,
Page 2,4/5/2024,1,John Branyan,,Blue Gate Music Hall,Shipshewana,Indiana,United States,South Bend-Elkhart,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Comedy,213,5314.35,300,71%,24.95,24.95,24.95,
Page 2,4/5/2024,1,"John Mueller's ""Winter Dance Party""",,Blue Gate Performing Arts Center,Shipshewana,Indiana,United States,South Bend-Elkhart,Auditorium / Theatre,US DOLLAR,"(In-House Promotion), Blue Gate Theatre",Tribute Acts,591,26315.45,"1,470",40%,19.95,64.95,44.53,
Page 2,4/5/2024,1,Charles Wesley Godwin,Erin Viancourt,Charleston Music Hall,Charleston,South Carolina,United States,"Charleston, SC",Auditorium / Theatre,US DOLLAR,NS2,Country,"1,140",47965.00,"1,140",100%,35.00,50.00,42.07,
Page 2,4/5/2024,1,Tom Segura,,ExtraMile Arena,Boise,Idaho,United States,Boise,Arena,US DOLLAR,Live Nation,Comedy,"7,937",554450.55,"8,358",94%,45.00,99.00,69.86,
Page 2,4/5/2024,1,Peter Kay,,AO Arena,Manchester,,United Kingdom,,Arena,Pound Sterling,SJM,Comedy,"13,490",991151.71,"13,688",98%,44.19,170.45,73.47,
Page 2,4/5/2024,1,Josh Turner,,River City Casino & Hotel,St. Louis,Missouri,United States,St. Louis,Casino,US DOLLAR,(In-House Promotion),Country,"1,003",58170.00,"1,009",99%,40.00,75.00,58.00,
Page 2,4/5/2024,1,Gaither Vocal Band,,Dream City Church,Phoenix,Arizona,United States,Phoenix (Prescott),Auditorium / Theatre,US DOLLAR,"LiveCo, TPR.",Christian,"2,142",77083.20,"3,530",60%,23.20,50.00,35.99,
Page 2,4/5/2024,1,Don Omar,,Desert Diamond Arena,Glendale,Arizona,United States,Phoenix (Prescott),Arena,US DOLLAR,Cárdenas Marketing Network (CMN),"Latin, Rap / HipHop","13,346",1586804.00,"13,346",100%,61.00,171.00,118.90,
Page 2,4/5/2024,1,Speed Gang,,The Intersection / The Stache,Grand Rapids,Michigan,United States,Grand Rapids-Kalamazoo-Battle Creek,Club,US DOLLAR,(In-House Promotion),Dance / Electronic,380,9155.00,380,100%,20.00,70.00,24.09,
Page 2,4/5/2024,1,Tim Hawkins,,Northland Church,Longwood,Florida,United States,Orlando-Daytona Beach-Melbourne,Auditorium / Theatre,US DOLLAR,Awakening Events,"Christian, Comedy","3,017",90597.00,"3,017",100%,29.75,69.75,30.03,
Page 2,4/5/2024,1,Riley Green,"Tracy Lawrence, Ella Langley",BankPlus Amphitheater At Snowden Grove,Southaven,Mississippi,United States,Memphis,Amphitheatre,US DOLLAR,Live Nation,Country,"6,888",323698.32,"9,580",71%,24.50,94.50,46.99,
Page 2,4/5/2024,1,Chonda Pierce,,The Tabernacle,Danville,Virginia,United States,Roanoke-Lynchburg,Auditorium / Theatre,US DOLLAR,Awakening Events,Comedy,879,25499.00,879,100%,29.75,55.75,29.01,
Page 2,4/5/2024,1,Zach Williams,Riley Clemmons,Ford Park Arena,Beaumont,Texas,United States,Beaumont-Port Arthur,Arena,US DOLLAR,Awakening Events,Christian,"2,347",75594.00,"2,868",81%,18.00,199.75,32.21,
Page 2,4/5/2024,1,The Fretliners,,Bluebird Theater,Denver,Colorado,United States,Denver,Club,US DOLLAR,(In-House Promotion),Bluegrass,373,6467.50,600,62%,20.00,25.00,17.34,
Page 2,4/5/2024,1,Leo Dan,"King Clave, Angela Carrasco, Los Pastelles Verdes, Grupo Yndio",United Palace,New York,New York,United States,New York,Auditorium / Theatre,US DOLLAR,Cárdenas Marketing Network (CMN),Latin,"2,999",363143.50,"3,344",89%,71.00,181.00,121.09,
Page 2,4/5/2024,1,Zach Rushing,,The Event Center at Hollywood Casino,Charles Town,West Virginia,United States,"Washington, D.C. (Hagerstown)",Auditorium / Theatre,US DOLLAR,(In-House Promotion),Comedy,749,22747.00,"1,206",62%,20.00,35.00,30.37,
Page 2,4/5/2024,1,Fridayy,,James L. Knight Center,Miami,Florida,United States,Miami-Ft. Lauderdale,Auditorium / Theatre,US DOLLAR,AEG Presents,RB / Soul,"3,947",179156.50,"4,359",90%,29.50,60.00,45.39,
Page 2,4/5/2024,2,John Lloyd Young,,Kravis Center - Rinker Playhouse,West Palm Beach,Florida,United States,West Palm Beach-Fort Pierce,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Pop / Rock,254,11475.00,305,83%,30.00,65.00,45.18,
Page 2,4/5/2024,4,Heather McDonald,Brittany Brave,Kravis Center - Persson Hall,West Palm Beach,Florida,United States,West Palm Beach-Fort Pierce,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Comedy,195,10047.50,305,63%,32.50,97.50,51.53,
Page 2,4/5/2024,1,Brian McKnight,,Hard Rock Live Sacramento,Wheatland,California,United States,Sacramento-Stockton-Modesto,Club,US DOLLAR,(In-House Promotion),RB / Soul,"2,033",99908.00,"2,044",99%,29.50,79.50,49.14,
Page 2,4/5/2024,1,Yuri,,Rosemont Theatre,Rosemont,Illinois,United States,Chicago,Auditorium / Theatre,US DOLLAR,Latino Live LLC,Pop / Rock,"2,307",232192.00,"4,375",52%,63.50,170.50,100.65,
Page 2,4/5/2024,1,Loreena McKennitt,,Mitsubishi Electric Halle,Dusseldorf,,Germany,,Auditorium / Theatre,Euro,"Dirk Becker Entertainment GmbH, Live Nation",Pop / Rock,"3,488",257874.21,"5,785",60%,54.13,81.20,73.93,
Page 2,4/5/2024,1,Lee Brice,,The Fruityard Amphitheater,Modesto,California,United States,Sacramento-Stockton-Modesto,Amphitheatre,US DOLLAR,"(In-House Promotion), Richter Ent'ment Group",Country,"4,492",311295.00,"4,632",96%,55.00,125.00,69.30,
Page 2,4/5/2024,1,Start Making Sense - Trib. to Talking Heads,,Asbury Hall,Buffalo,New York,United States,Buffalo,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Tribute Acts,865,24865.00,"1,200",72%,28.00,33.00,28.75,
Page 2,4/5/2024,1,The Skivvies,,The Smith Center / Myron's,Las Vegas,Nevada,United States,Las Vegas,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Pop / Rock,221,9486.60,244,90%,34.00,44.00,42.93,
Page 2,4/5/2024,1,Ed Kuepper,Mess Esque,Corner Hotel,Richmond,,Australia,,Club,Australian,Feel Presents,Pop / Rock,466,19309.27,750,62%,41.40,46.00,41.44,
Page 2,4/5/2024,1,Sex On Toast,"Davy Lane, Psychobabel",Northcote Social Club,Northcote,,Australia,,Club,Australian,(In-House Promotion),RB / Soul,147,2349.10,300,49%,13.14,16.43,15.98,
Page 2,4/5/2024,1,Ed Gamble,,Sheffield City Hall,Sheffield,,United Kingdom,,Auditorium / Theatre,Pound Sterling,Avalon Promotions,Comedy,"1,637",51671.80,"2,076",78%,31.56,31.56,31.56,
Page 2,4/5/2024,4,Olivia Rodrigo,The Breeders,Madison Square Garden,New York,New York,United States,New York,Arena,US DOLLAR,Live Nation,Pop / Rock,"14,485",1938562.25,"14,517",99%,27.00,199.50,133.83,
Page 2,4/5/2024,1,Uli Jon Roth,,The Coach House Concert Hall,San Juan Capistrano,California,United States,Los Angeles,Club,US DOLLAR,(In-House Promotion),,376,10528.00,500,75%,28.00,28.00,28.00,
Page 2,4/5/2024,1,Jerry Sadowitz,,Hen & Chicken,Bristol,,United Kingdom,,Club,Pound Sterling,DEAG / KMJ Entertainment,Comedy,187,6492.90,190,98%,34.72,34.72,34.72,
Page 2,4/5/2024,1,"""Blippi On Tour""",,Orpheum Theatre,Sioux City,Iowa,United States,Sioux City,Auditorium / Theatre,US DOLLAR,"LiveCo, TPR.",Family Entertainment,"1,054",40481.24,"2,467",42%,13.10,67.50,38.41,
Page 2,4/5/2024,1,ONEUS,,Bayou Music Center,Houston,Texas,United States,Houston,Auditorium / Theatre,US DOLLAR,"FPC Live (Frank Productions Concerts), Live Nation","Pop / Rock, World","1,114",108121.20,"2,236",49%,20.75,125.50,97.06,
Page 2,4/5/2024,1,Marshall Charloff & Purple Xperience,,Kodak Center,Rochester,New York,United States,"Rochester, NY",Auditorium / Theatre,US DOLLAR,(In-House Promotion),Tribute Acts,639,28095.00,"1,978",32%,25.50,55.50,43.97,
Page 2,4/5/2024,1,The Harlem Globetrotters,,INTRUST Bank Arena,Wichita,Kansas,United States,Wichita-Hutchinson Plus,Arena,US DOLLAR,Harlem Globetrotters International,Sports Entertainment,"2,251",100559.75,"9,566",23%,25.00,110.00,44.67,
Page 2,4/5/2024,3,"""Paw Patrol Live!""",,Angel of the Winds Arena,Everett,Washington,United States,Seattle-Tacoma,Arena,US DOLLAR,Vstar Entertainment Group,Theatrical,"1,293",69914.67,"2,652",48%,25.00,115.00,54.04,
Page 2,4/5/2024,3,"Palm Beach Opera ""Norma""",,Kravis Center – Dreyfoos Hall,West Palm Beach,Florida,United States,West Palm Beach-Fort Pierce,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Classical,962,114646.23,"2,100",45%,25.00,255.00,119.13,
Page 2,4/5/2024,1,Jessie Murph,,XL Live,Harrisburg,Pennsylvania,United States,Harrisburg-Lancaster-Lebanon-York,Club,US DOLLAR,(In-House Promotion),Pop / Rock,"1,000",30000.00,"1,000",100%,30.00,35.00,30.00,
Page 2,4/5/2024,1,Franco Escamilla,PonchoTrevino,Radio City Music Hall,New York,New York,United States,New York,Auditorium / Theatre,US DOLLAR,Live Nation,Comedy,"5,865",545119.50,"5,865",100%,49.50,182.50,92.94,
Page 2,4/5/2024,1,Oska,,Theaterlabor Im Tor 6,Bielefeld,,Germany,,Auditorium / Theatre,Euro,Undercover GmbH,,111,2092.78,235,47%,1.08,23.82,18.85,
Page 2,4/5/2024,1,Haller,,Eulexo,Brunswick,,Germany,,Club,Euro,Undercover GmbH,"Pop / Rock, World",160,4539.01,199,80%,28.10,28.10,28.37,
Page 2,4/5/2024,1,Journey From The Heart - Trib. to Journey & Heart,,The Park Theater,McMinnville,Tennessee,United States,Nashville,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Tribute Acts,498,17487.83,555,89%,25.00,35.00,35.12,
Page 2,4/5/2024,1,Fall Out Boy,"Jimmy Eat World, Hot Mulligan, Carr",CHI Health Center Omaha,Omaha,Nebraska,United States,Omaha,Arena,US DOLLAR,Live Nation,Pop / Rock,"11,474",903100.00,"11,816",97%,36.50,146.50,78.71,
Page 2,4/5/2024,1,Kitchen Dwellers,Cris Jacobs,Thalia Hall,Chicago,Illinois,United States,Chicago,Club,US DOLLAR,(In-House Promotion),"Country, Folk",885,22754.00,914,96%,23.00,51.00,25.71,
Page 2,4/5/2024,1,Breaking Benjamin,"Daughtry, Catch Your Breath",Alliant Energy PowerHouse,Cedar Rapids,Iowa,United States,Cedar Rapids-Waterloo-Iowa City & Dubuque,Arena,US DOLLAR,First Fleet Concerts,Pop / Rock,"3,272",208472.00,"5,777",56%,45.50,75.50,63.71,
Page 2,4/5/2024,1,Terrapin Family Band,,Brooklyn Bowl,Brooklyn,New York,United States,New York,Club,US DOLLAR,(In-House Promotion),Pop / Rock,515,15450.00,600,85%,30.00,30.00,30.00,
Page 2,4/5/2024,1,"""Strobe: EMD Party""",,Brooklyn Bowl,Brooklyn,New York,United States,New York,Club,US DOLLAR,(In-House Promotion),,131,2096.00,600,21%,16.00,16.00,16.00,
Page 2,4/5/2024,1,Kountry Wayne,"DJ Southanbred, Jordan Jackson, Mario Tory",Beacon Theatre,New York,New York,United States,New York,Auditorium / Theatre,US DOLLAR,Live Nation,Comedy,"1,329",51083.25,"1,945",68%,30.00,90.50,38.44,
Page 2,4/5/2024,1,JJ Grey & Mofro,,Citizens House of Blues Boston,Boston,Massachusetts,United States,Boston (Manchester),Club,US DOLLAR,Crossroads Presents,"Blues, Pop / Rock","1,804",73348.00,"2,425",74%,39.50,59.50,40.66,
Page 2,4/5/2024,1,Tab Benoit,,Neighborhood Theatre,Charlotte,North Carolina,United States,Charlotte,Auditorium / Theatre,US DOLLAR,"MaxxMusic, Inc.",Blues,538,18760.00,956,56%,32.50,47.50,34.87,
Page 2,4/5/2024,1,Nate Bargatze,,Golden 1 Center,Sacramento,California,United States,Sacramento-Stockton-Modesto,Arena,US DOLLAR,"Outback Presents, LLC",Comedy,"15,230",1227244.75,"16,511",92%,39.75,109.75,80.58,
Page 2,4/5/2024,1,Mark Normand,,Bijou Theatre,Knoxville,Tennessee,United States,Knoxville,Auditorium / Theatre,US DOLLAR,"Outback Presents, LLC",Comedy,736,48637.60,761,96%,45.00,159.75,66.08,
Page 2,4/5/2024,1,Tony Hinchcliffe,,Majestic Theatre,Dallas,Texas,United States,Dallas-Ft. Worth,Auditorium / Theatre,US DOLLAR,"Outback Presents, LLC",Comedy,"1,639",97637.45,"1,703",96%,39.75,175.00,59.57,
Page 2,4/5/2024,1,The Amish Outlaws,,The Vogel,Red Bank,New Jersey,United States,New York,Club,US DOLLAR,The Basie Presents,Pop / Rock,425,7140.00,629,67%,20.00,40.00,16.80,
Page 2,4/5/2024,1,Tom Keifer,,The Canyon Agoura Hills,Agoura Hills,California,United States,Los Angeles,Club,US DOLLAR,(In-House Promotion),Pop / Rock,416,21239.40,765,54%,20.00,20.00,51.06,
Page 2,4/5/2024,1,Bang YongGuk,,Warsaw,Brooklyn,New York,United States,New York,Club,US DOLLAR,"(In-House Promotion), Live Nation",Rap / HipHop,494,14850.00,"1,090",45%,30.00,35.00,30.06,
Page 2,4/5/2024,3,"""The Cher Show""",,Washington Pavilion of Arts and Science - Mary W. Sommervold Hall,Sioux Falls,South Dakota,United States,Sioux Falls-Mitchell,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Theatrical,883,58430.12,"1,881",46%,22.59,129.00,66.17,
Page 2,4/5/2024,1,Depeche Mode,,Lanxess Arena,Cologne,,Germany,,Arena,Euro,Live Nation,Pop / Rock,"16,776",1799172.42,"16,930",99%,75.52,162.67,107.25,
Page 2,4/5/2024,1,Queens of The Stone Age,The Struts,Canada Life Centre,Winnipeg,Manitoba,Canada,,Arena,Canadian,Live Nation,Pop / Rock,"5,373",299514.62,"5,964",90%,25.79,55.27,55.74,
Page 2,4/5/2024,1,Casting Crowns,,Peace Concert Hall,Greenville,South Carolina,United States,Greenville-Spartanburg-Asheville-Anderson,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Christian,"2,086",167918.00,"2,095",99%,45.00,199.00,80.50,
Page 2,4/5/2024,6,Matt Rife,,Bellco Theatre,Denver,Colorado,United States,Denver,Auditorium / Theatre,US DOLLAR,Live Nation,Comedy,"4,881",468109.25,"4,883",99%,53.50,374.00,95.89,
Page 2,4/5/2024,1,Julien Granel,,Le Studio TD,Montreal,Quebec,Canada,,Auditorium / Theatre,Canadian,"(In-House Promotion), Evenko, Francofolies De Montreal",,435,8425.44,675,64%,19.16,22.11,19.37,
Page 2,4/5/2024,1,Les Trois Accords,,MTELUS,Montreal,Quebec,Canada,,Club,Canadian,La Tribu,,"2,199",56713.72,"2,200",99%,25.79,25.79,25.79,
Page 2,4/5/2024,1,Lil Tjay,,Mary Brown's Centre,St. John's,Newfoundland & Labrador,Canada,,Arena,Canadian,"(In-House Promotion), Evenko, Live Nation",Pop / Rock,"5,009",265691.97,"5,523",90%,29.48,77.37,53.04,
Page 2,4/5/2024,1,Real Estate,Marina Allen,Théâtre Beanfield,Montreal,Quebec,Canada,,Club,Canadian,"(In-House Promotion), Blue Skies Turn Black, Evenko",Pop / Rock,555,14442.78,961,57%,25.79,29.48,26.02,
Page 2,4/5/2024,2,"""Harry Potter In Concert""",,Broward Center Au-Rene Theater,Fort Lauderdale,Florida,United States,Miami-Ft. Lauderdale,Auditorium / Theatre,US DOLLAR,Innovation Arts and Entertainment,Theatrical,"1,297",190745.87,"2,658",48%,25.25,125.25,147.07,
Page 2,4/5/2024,1,Blanke,,Skully's Music Diner,Columbus,Ohio,United States,"Columbus, OH",Club,US DOLLAR,Disco Presents,Dance / Electronic,255,6945.00,490,52%,25.00,30.00,27.24,
Page 2,4/5/2024,1,Simon Gouache,,L'Etoile | Salle de spectacle,Brossard,Quebec,Canada,,Auditorium / Theatre,Canadian,"(In-House Promotion), Evenko, Théâtre l'Étoile",Comedy,944,23970.60,975,96%,25.05,28.00,25.39,
Page 2,4/5/2024,1,Mirror,,Oakland Arena,Oakland,California,United States,San Francisco-Oakland-San Jose,Arena,US DOLLAR,Joy Entertainment,Pop / Rock,"2,707",634006.00,"3,947",68%,128.00,388.00,234.21,
Page 2,4/5/2024,1,Sonny Landreth,The Iguanas,City Winery Chicago,Chicago,Illinois,United States,Chicago,Club,US DOLLAR,(In-House Productions) / City Winery,"Blues, Pop / Rock",304,14926.00,304,100%,42.00,55.00,49.10,
Page 2,4/5/2024,1,Let's Sing Taylor - A Live Band Experience,,The Paramount,Huntington,New York,United States,New York,Club,US DOLLAR,"(In-House Promotion), Live Nation",Tribute Acts,"1,473",57181.10,"1,473",100%,25.00,49.50,38.82,
Page 2,4/5/2024,1,Victoria Canal,,McMenamins Mission Theater,Portland,Oregon,United States,"Portland, OR",Auditorium / Theatre,US DOLLAR,Monqui Presents,Pop / Rock,63,1365.00,290,21%,20.00,25.00,21.67,
Page 2,4/5/2024,1,Lizzy & The Triggermen,,City Winery Boston,Boston,Massachusetts,United States,Boston (Manchester),Club,US DOLLAR,"(In-House Productions) / City Winery, (In-House Promotion)",Jazz,288,9640.00,288,100%,25.00,45.00,33.47,
Page 2,4/5/2024,1,Pablo López,,Laboral Theatre,Gijon,,Spain,,Auditorium / Theatre,Euro,Emotional Concerts Aie,"Latin, Pop / Rock","1,307",95012.39,"1,307",100%,38.98,97.44,72.70,
Page 2,4/5/2024,1,Darin & Brooke Aldridge,,The Ludlow Garage,Cincinnati,Ohio,United States,Cincinnati,Club,US DOLLAR,Ripley's Productions,"Christian, Country, Folk",68,2805.00,244,27%,30.00,45.00,41.25,
Page 2,4/5/2024,1,Palaye Royale,,Slowdown,Omaha,Nebraska,United States,Omaha,Club,US DOLLAR,Knitting Factory Entertainment - Beverly Hills,Pop / Rock,250,4672.00,250,100%,16.00,20.00,18.69,
Page 2,4/5/2024,1,MercyMe,"Newsboys, David Leonard",Abbotsford Centre,Abbotsford,British Columbia,Canada,,Arena,Canadian,"LiveCo, TPR.",Christian,"5,524",167896.99,"5,753",96%,18.42,76.64,30.39,
Page 2,4/5/2024,1,We The Kingdom,,LexCity Church,Lexington,Kentucky,United States,Lexington,Auditorium / Theatre,US DOLLAR,"LiveCo, TPR.",Christian,781,31896.50,"1,700",45%,20.00,115.00,40.84,
Page 2,4/5/2024,1,Jo Koy,,Climate Pledge Arena,Seattle,Washington,United States,Seattle-Tacoma,Arena,US DOLLAR,"ICON Concerts, LiveCo",Comedy,"12,764",1110655.00,"15,175",84%,58.00,108.00,87.01,
Page 2,4/5/2024,1,Stüm,6SENSE,The Timber Yard,Port Melbourne,,Australia,,Auditorium / Theatre,Australian,Untitled Group,Pop / Rock,"2,500",75169.77,"2,500",100%,36.07,42.65,30.07,
Page 2,4/5/2024,1,Royal Blood,,Royal Center,Bogota,,Colombia,,Auditorium / Theatre,Pesos,Move Concerts,Pop / Rock,"1,110",65906.00,"2,500",44%,49.64,65.32,59.37,
Page 2,4/5/2024,1,Chappell Roan,,Stage AE,Pittsburgh,Pennsylvania,United States,Pittsburgh,Club,US DOLLAR,"(In-House Promotion), AEG Presents, PromoWest Productions",Pop / Rock,"2,300",72392.00,"2,300",100%,30.00,66.00,31.47,
Page 2,4/5/2024,1,KB,"Nobigdyl., Limoblaze, Whatuprg, Flame",North Heights Lutheran Church,Arden Hills,Minnesota,United States,Minneapolis-St. Paul,Auditorium / Theatre,US DOLLAR,"LiveCo, TPR.","Christian, Rap / HipHop","1,130",35910.00,"1,130",100%,20.00,85.00,31.78,
Page 2,4/5/2024,1,Matt Maher,"Seph Schlueter, Lizzie Morgan",North Cleveland Church Of God,Cleveland,Tennessee,United States,Nashville,Auditorium / Theatre,US DOLLAR,"LiveCo, TPR.",Christian,415,9034.30,"1,830",22%,12.50,75.00,21.77,
Page 2,4/5/2024,1,Arizona Zervas,,Nectar Lounge,Seattle,Washington,United States,Seattle-Tacoma,Club,US DOLLAR,(In-House Promotion),Rap / HipHop,247,6275.00,450,54%,25.00,25.00,25.40,
Page 2,4/5/2024,1,Adam Paddock,"Jady, Lisa Curtis, Summon Luke",Newport Music Hall,Columbus,Ohio,United States,"Columbus, OH",Auditorium / Theatre,US DOLLAR,"(In-House Promotion), AEG Presents, PromoWest Productions",,444,9615.00,"1,400",31%,20.00,45.00,21.66,
Page 2,4/5/2024,1,The Dan Band,,Saint Rocke,Hermosa Beach,California,United States,Los Angeles,Club,US DOLLAR,(In-House Promotion),Pop / Rock,284,10792.00,300,94%,25.00,38.00,38.00,
Page 2,4/5/2024,1,Rocco,,The Independent,San Francisco,California,United States,San Francisco-Oakland-San Jose,Club,US DOLLAR,Another Planet Entertainment,Pop / Rock,550,13755.00,550,100%,25.00,30.00,25.01,
Page 2,4/5/2024,1,"""Kings Promotions Boxing""",,Wind Creek Event Center,Bethlehem,Pennsylvania,United States,Philadelphia,Club,US DOLLAR,(In-House Promotion),Family Entertainment,777,65025.00,"1,924",40%,50.00,150.00,83.69,
Page 2,4/5/2024,1,We Are Messengers,Ben Fuller,Lakeland Community Church,Delavan,Wisconsin,United States,Madison,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Christian,877,25640.00,900,97%,10.00,65.00,29.24,
Page 2,4/5/2024,1,Queen Extravaganza - Trib. to Queen,,Narbonne Arena,Narbonne,,France,,Arena,Euro,Gérard Drouot Productions,"Pop / Rock, Tribute Acts","1,506",84575.51,"2,338",64%,56.16,56.16,56.16,
Page 2,4/5/2024,1,Chris Lane,,Proud Larry's,Oxford,Mississippi,United States,Memphis,Club,US DOLLAR,"LiveCo, Peachtree Entertainment","Country, Pop / Rock",250,5000.00,250,100%,20.00,20.00,20.00,
Page 2,4/5/2024,1,Dylan Gossett,James Tucker,40 Watt Club,Athens,Georgia,United States,Atlanta,Club,US DOLLAR,"LiveCo, Peachtree Entertainment",Country,500,12700.00,628,79%,20.00,25.00,25.40,
Page 2,4/5/2024,1,Zach Top,,Wendell's Dippin Branch,Anderson,South Carolina,United States,"Columbia, SC",Club,US DOLLAR,"LiveCo, Peachtree Entertainment","Country, Pop / Rock",800,12000.00,800,100%,15.00,15.00,15.00,
Page 2,4/5/2024,1,Fool House - The Ultimate 90's Dance Party,,The District,Sioux Falls,South Dakota,United States,Sioux Falls-Mitchell,Club,US DOLLAR,Pepper Entertainment,Tribute Acts,592,12498.50,"1,500",39%,18.00,30.50,21.11,
Page 2,4/5/2024,1,berlioz,,Ampere,Munich,,Germany,,Club,Euro,FKP Scorpio Konzertproduktionen,Dance / Electronic,450,11692.77,450,100%,25.98,25.98,25.98,
Page 2,4/5/2024,1,Charlotte De Witte,,Cow Palace Arena and Festival Grounds,Daly City,California,United States,San Francisco-Oakland-San Jose,Arena,US DOLLAR,"AEG Presents, Goldenvoice",Dance / Electronic,"3,955",247196.50,"4,500",87%,55.00,55.00,62.50,
Page 2,4/5/2024,1,"""Gimme Gimme Disco""",,Knitting Factory Concert House,Boise,Idaho,United States,Boise,Club,US DOLLAR,Knitting Factory Entertainment - Beverly Hills,Dance / Electronic,577,13100.00,999,57%,20.00,22.00,22.70,
Page 2,4/5/2024,1,Baustelle,,Teatro Lyrick,Assissi,,Italy,,Auditorium / Theatre,Euro,Vivo Concerti,Pop / Rock,811,41348.54,992,81%,43.58,62.25,50.98,
Page 2,4/5/2024,4,"""Monster Jam""",Pity Party,Resch Center,Green Bay,Wisconsin,United States,Green Bay-Appleton,Arena,US DOLLAR,Feld Entertainment,Sports Entertainment,"4,164",159283.38,"5,976",69%,28.00,73.00,38.25,
Page 2,4/5/2024,1,"Avey Tare, Woods",,Colony Woodstock,Woodstock,New York,United States,Albany-Schenectady-Troy,Club,US DOLLAR,Impact Events,"Dance / Electronic, Pop / Rock",380,10155.00,400,95%,25.00,50.00,26.72,
Page 2,4/5/2024,1,Hollow Coves,Garrett Kato,Muffathalle,Munich,,Germany,,Auditorium / Theatre,Euro,FKP Scorpio Konzertproduktionen,Pop / Rock,"1,400",39955.70,"1,400",100%,30.31,30.31,28.54,
Page 2,4/5/2024,1,Juse Ju,,Waldsee,Freiburg,,Germany,,Untyped Venue,Euro,"FKP Scorpio Konzertproduktionen, Vaddi Concerts GmbH",Rap / HipHop,216,5878.86,350,61%,27.07,27.07,27.22,
Page 2,4/5/2024,1,Patrick Mason,,District 272 Club,Milan,,Italy,,Club,Euro,Vivo Concerti,Dance / Electronic,600,11692.77,700,85%,14.07,21.65,19.49,
