Source Page,Event Date,Number of Shows,Headliner,Support,Venue,City,State,Country,Market,Venue Type,Currency,Promoter,Genre,Tickets Sold,Gross USD,Event Capacity,Capacity Sold %,Min Price USD,Max Price USD,Avg Price USD,Actions
Page 2,4/10/2024,1,Mahmood,,Komplex 457,Zurich,,Switzerland,,Auditorium / Theatre,Swiss Franc,"Friends & Partners, Gadget ABC Entertainment AG",Pop / Rock,"1,792",125708.19,"1,792",100%,73.18,73.18,70.15,
Page 2,4/10/2024,1,"""Disney Princess - The Concert""",,Steven Tanger Center for the Performing Arts,Greensboro,North Carolina,United States,Greensboro-High Point-Winston-Salem,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Family Entertainment,"1,322",58088.00,"2,900",45%,24.50,74.50,43.94,
Page 2,4/10/2024,1,Mehrnam Rastegari,,Joe's Pub,New York,New York,United States,New York,Club,US DOLLAR,(In-House Promotion),Classical,62,1530.00,156,39%,5.00,25.00,24.68,
Page 2,4/10/2024,1,"""All Elite Wrestling""",,Charleston Coliseum,Charleston,West Virginia,United States,Charleston-Huntington,Arena,US DOLLAR,All Elite Wrestling,Sports Entertainment,"2,987",159897.10,"9,062",32%,20.00,90.00,53.53,
Page 2,4/10/2024,1,"""Asia Star Entertainment Awards""",,K-Arena Yokohama,Yokohama,,Japan,,Arena,Yen,Disk Garage,World,"18,844",2731803.84,"18,844",100%,144.97,144.97,144.97,
Page 2,4/10/2024,1,LA TI DO ft Vincent Rodriquez III,,City Winery Pittsburgh,Pittsburgh,Pennsylvania,United States,Pittsburgh,Club,US DOLLAR,(In-House Productions) / City Winery,Multi-Genre,101,2720.00,220,45%,30.00,30.00,26.93,
Page 2,4/10/2024,1,Shayfer James,,Jammin' Java,Vienna,Virginia,United States,"Washington, D.C. (Hagerstown)",Club,US DOLLAR,Union Stage,Pop / Rock,89,2030.00,240,37%,20.00,30.00,22.81,
Page 2,4/10/2024,1,Second District Records,,Union Stage,Washington,District of Columbia,United States,"Washington, D.C. (Hagerstown)",Club,US DOLLAR,Union Stage,,130,55.00,500,26%,5.00,5.00,0.42,
Page 2,4/10/2024,1,Alborosie,,The Marquee,Tempe,Arizona,United States,Phoenix (Prescott),"Auditorium / Theatre, Club",US DOLLAR,(In-House Promotion),World,340,8811.00,650,52%,23.00,28.00,25.91,
Page 2,4/10/2024,1,Paul Carrack,Andy Fairweather Low,The Bridgewater Hall,Manchester,,United Kingdom,,Auditorium / Theatre,Pound Sterling,Triple A Entertainment Group,Pop / Rock,"1,488",78509.24,"1,550",96%,31.69,57.04,52.76,
Page 2,4/10/2024,1,Dogs in a Pile,The Higgs,The Venice West,Venice,California,United States,Los Angeles,Club,US DOLLAR,(In-House Promotion),Pop / Rock,248,4745.00,248,100%,15.00,20.00,19.13,
Page 2,4/10/2024,1,Bryson Tiller,DJ Nitrane,Vicar Street,Dublin,,Ireland,,Club,Euro,Aiken Promotions,Rap / HipHop,"1,450",51400.04,"1,480",97%,34.73,34.73,35.45,
Page 2,4/10/2024,1,Dee Alexander,,City Winery Chicago,Chicago,Illinois,United States,Chicago,Club,US DOLLAR,(In-House Productions) / City Winery,,211,6936.00,304,69%,25.00,38.00,32.87,
Page 2,4/10/2024,1,Forester,,Drake Hotel / Underground,Toronto,Ontario,Canada,,Club,Canadian,MRG Live,,190,2815.02,190,100%,14.74,14.74,14.82,
Page 2,4/10/2024,1,Die Antwoord,,Gasometer Halle,Vienna,,Austria,,Auditorium / Theatre,Euro,Barracuda Music GmbH,Rap / HipHop,"3,347",151736.00,"3,347",100%,43.95,53.72,45.33,
Page 2,4/9/2024,1,Rain - A Tribute To The Beatles,,State Theatre New Jersey,New Brunswick,New Jersey,United States,New York,Auditorium / Theatre,US DOLLAR,"(In-House Promotion), LiveCo, MagicSpace Entertainment",Tribute Acts,932,57599.60,"1,806",51%,39.00,69.00,61.80,
Page 2,4/9/2024,2,James Blunt,,Royal Albert Hall,London,,United Kingdom,,Auditorium / Theatre,Pound Sterling,DHP Concerts,Pop / Rock,"4,181",438836.52,"4,202",99%,56.95,158.18,104.95,
Page 2,4/9/2024,1,Tyler Childers,Hayes Carll,BOK Center,Tulsa,Oklahoma,United States,Tulsa,Arena,US DOLLAR,Live Nation,Country,"12,200",1335876.00,"12,200",100%,49.50,159.50,109.50,
Page 2,4/9/2024,1,Chappell Roan,,Boulder Theater,Boulder,Colorado,United States,Denver,Club,US DOLLAR,Z2 Entertainment,Pop / Rock,"1,169",37757.25,"1,169",100%,35.00,38.00,32.30,
Page 2,4/9/2024,1,Thundercat,,Ancienne Belgique,Brussels,,Belgium,,Club,Euro,"(In-House Promotion), Greenhouse Talent","Dance / Electronic, Jazz, Rap / HipHop","1,945",63347.00,"1,945",100%,32.57,37.99,32.57,
Page 2,4/9/2024,1,Bad Bunny,,Capital One Arena,Washington,District of Columbia,United States,"Washington, D.C. (Hagerstown)",Arena,US DOLLAR,Live Nation,"Latin, Rap / HipHop","17,503",6033034.00,"17,503",100%,61.95,951.95,344.69,
Page 2,4/9/2024,1,Destroyer,Lightning Dust,The Legendary Horseshoe Tavern,Toronto,Ontario,Canada,,Club,Canadian,Collective Concerts,Pop / Rock,584,10770.31,584,100%,18.40,22.09,18.44,
Page 2,4/9/2024,1,Scooter,,Uber Arena,Berlin,,Germany,,Arena,Euro,"All Artist Agency GmbH, Trinity Music",Dance / Electronic,"10,351",617706.76,"14,000",73%,43.42,71.65,59.68,
Page 2,4/9/2024,1,BoyWithUke,Naethan Apollo,Ace Of Spades,Sacramento,California,United States,Sacramento-Stockton-Modesto,Club,US DOLLAR,Live Nation,Pop / Rock,"1,050",27147.00,"1,050",100%,25.00,30.00,25.85,
