month,category,Volume
2025-07-01 00:00:00,Politics,34883881
2025-03-01 00:00:00,Health,204955
2024-11-01 00:00:00,Climate and Weather,40670394
2025-01-01 00:00:00,Economics,4021710
2022-09-01 00:00:00,Science and Technology,8831
2023-08-01 00:00:00,Science and Technology,206063
2025-08-01 00:00:00,Science and Technology,2875403
2025-07-01 00:00:00,Mentions,327151
2022-01-01 00:00:00,Financials,9769
2024-06-01 00:00:00,Climate and Weather,1534820
2025-11-01 00:00:00,Entertainment,58163211
2026-03-01 00:00:00,Mentions,92817815
2021-07-01 00:00:00,Health,100912
2025-08-01 00:00:00,World,437800
2024-01-01 00:00:00,Transportation,92559
2024-07-01 00:00:00,Financials,17823343
2022-12-01 00:00:00,Climate and Weather,746449
2023-05-01 00:00:00,Climate and Weather,348293
2026-03-01 00:00:00,Economics,71290313.62
2021-09-01 00:00:00,Politics,202952
2022-03-01 00:00:00,Transportation,36331
2022-12-01 00:00:00,Financials,3672362
2025-12-01 00:00:00,Transportation,218237
2024-10-01 00:00:00,Health,48905
2025-05-01 00:00:00,Climate and Weather,11227779
2023-04-01 00:00:00,Health,4149
2026-04-01 00:00:00,Climate and Weather,58378161.229999974
2022-12-01 00:00:00,Entertainment,0
2023-03-01 00:00:00,Politics,160250
2023-12-01 00:00:00,Entertainment,233299
2023-10-01 00:00:00,Economics,1027752
2023-09-01 00:00:00,Transportation,40722
2024-05-01 00:00:00,Financials,20982227
2024-05-01 00:00:00,Climate and Weather,1070401
2023-08-01 00:00:00,Financials,13678167
2022-05-01 00:00:00,Financials,5055751
2025-11-01 00:00:00,Climate and Weather,23443383
2022-05-01 00:00:00,Climate and Weather,764310
2026-04-01 00:00:00,Science and Technology,9807905.969999997
2023-10-01 00:00:00,Entertainment,81366
2024-09-01 00:00:00,Climate and Weather,1842935
2025-02-01 00:00:00,Education,4393
2025-06-01 00:00:00,Social,388629
2026-01-01 00:00:00,Companies,15264205
2025-04-01 00:00:00,Science and Technology,1428086
2026-04-01 00:00:00,Politics,154663001.9099998
2021-07-01 00:00:00,Economics,38687
2023-08-01 00:00:00,Companies,2317
2024-09-01 00:00:00,Financials,10487319
2022-03-01 00:00:00,Climate and Weather,400783
2022-12-01 00:00:00,Economics,1226840
2023-11-01 00:00:00,Entertainment,52938
2025-05-01 00:00:00,Sports,509296880
2026-04-01 00:00:00,Mentions,58905242.02999994
2025-11-01 00:00:00,Social,2969691
2026-03-01 00:00:00,Entertainment,99030669.49
2021-09-01 00:00:00,Entertainment,1484
2022-05-01 00:00:00,Politics,648862
2025-09-01 00:00:00,World,299250
2022-05-01 00:00:00,World,133644
2023-04-01 00:00:00,Economics,1796212
2025-06-01 00:00:00,Mentions,938927
2022-02-01 00:00:00,Transportation,38820
2024-09-01 00:00:00,Crypto,1931287
2021-11-01 00:00:00,Economics,149787
2022-10-01 00:00:00,World,4466
2025-10-01 00:00:00,World,763137
2025-01-01 00:00:00,Social,0
2026-02-01 00:00:00,Elections,15359747
2024-01-01 00:00:00,Politics,477491
2024-07-01 00:00:00,World,9482
2022-08-01 00:00:00,Economics,1576303
2025-07-01 00:00:00,Companies,3987269
2022-02-01 00:00:00,Financials,53303
2022-08-01 00:00:00,Transportation,155759
2024-11-01 00:00:00,Science and Technology,1391736
2025-12-01 00:00:00,Sports,5997142340
2025-12-01 00:00:00,Mentions,63943966
2021-10-01 00:00:00,Entertainment,20895
2023-02-01 00:00:00,Politics,108059
2023-09-01 00:00:00,Health,43962
2024-12-01 00:00:00,World,59610
2024-02-01 00:00:00,Science and Technology,26899
2025-12-01 00:00:00,Crypto,184716696
2026-03-01 00:00:00,Financials,40348110
2022-07-01 00:00:00,Entertainment,0
2024-05-01 00:00:00,Transportation,72233
2025-04-01 00:00:00,Climate and Weather,10726535
2025-04-01 00:00:00,Financials,16058892
2025-11-01 00:00:00,Science and Technology,10957523
2024-02-01 00:00:00,Health,14599
2021-11-01 00:00:00,World,44489
2021-12-01 00:00:00,World,75582
2022-03-01 00:00:00,Politics,216156
2022-04-01 00:00:00,Transportation,24023
2023-03-01 00:00:00,Financials,7335411
2022-01-01 00:00:00,Science and Technology,42894
2023-08-01 00:00:00,Transportation,18102
2022-03-01 00:00:00,Financials,30186
2022-09-01 00:00:00,Politics,551538
2023-07-01 00:00:00,Entertainment,93065
2023-09-01 00:00:00,Economics,1329422
2024-03-01 00:00:00,Science and Technology,92456
2026-02-01 00:00:00,Mentions,99781541
2025-12-01 00:00:00,Financials,26813390
2023-05-01 00:00:00,Politics,1378746
2024-11-01 00:00:00,Health,185457
2025-08-01 00:00:00,Health,145193
2023-05-01 00:00:00,Economics,2394879
2023-03-01 00:00:00,Transportation,57471
2023-12-01 00:00:00,Politics,423756
2024-10-01 00:00:00,Science and Technology,184436
2024-08-01 00:00:00,World,6090
2025-06-01 00:00:00,Climate and Weather,12404785
2025-03-01 00:00:00,Financials,6661309
2022-06-01 00:00:00,Financials,5562993
2022-11-01 00:00:00,World,10600
2025-09-01 00:00:00,Climate and Weather,14362548
2025-06-01 00:00:00,Transportation,6248
2021-12-01 00:00:00,Politics,552221
2022-08-01 00:00:00,Politics,939118
2023-04-01 00:00:00,Climate and Weather,601883
2024-12-01 00:00:00,Social,18
2023-03-01 00:00:00,Science and Technology,1878
2024-07-01 00:00:00,Crypto,1831618
2024-06-01 00:00:00,Politics,1005197
2025-12-01 00:00:00,Climate and Weather,55647149
2026-03-01 00:00:00,Crypto,1192069651.2400002
2022-04-01 00:00:00,Health,315500
2025-09-01 00:00:00,Economics,87800230
2025-11-01 00:00:00,Sports,5258490290
2021-11-01 00:00:00,Entertainment,49802
2021-10-01 00:00:00,Health,228077
2022-04-01 00:00:00,Climate and Weather,537458
2022-08-01 00:00:00,Entertainment,0
2023-01-01 00:00:00,Health,48894
2025-01-01 00:00:00,Transportation,140
2021-08-01 00:00:00,Climate and Weather,593518
2023-11-01 00:00:00,Economics,2188517
2025-05-01 00:00:00,Social,46
2026-01-01 00:00:00,Crypto,343437958
2023-11-01 00:00:00,World,730
2024-10-01 00:00:00,Transportation,31834
