artist_name,headline,link,announcement_date,start_date,end_date,venue_name,venue_city,venue_type,venue_nation,last_tour_gross,last_tickets_sold,tour_announcement
Shakira,"Shakira Adds Shows In Atlanta, Houston, Phoenix",https://news.pollstar.com/2024/12/10/shakira-adds-shows-in-atlanta-houston-phoenix/,2024-12-10,2025-02-11,2025-06-30,Estádio Nilton Santos,"Rio de Janeiro, Brazil",Stadium,FALSE,,,TRUE
Shakira,"Shakira Adds Shows In Atlanta, Houston, Phoenix",https://news.pollstar.com/2024/12/10/shakira-adds-shows-in-atlanta-houston-phoenix/,2024-12-10,2025-02-11,2025-06-30,Estádio Morumbi,"São Paulo, Brazil",Stadium,FALSE,,,TRUE
Shakira,"Shakira Adds Shows In Atlanta, Houston, Phoenix",https://news.pollstar.com/2024/12/10/shakira-adds-shows-in-atlanta-houston-phoenix/,2024-12-10,2025-02-11,2025-06-30,Estadio Nacional,"Cercado de Lima, Peru",Stadium,FALSE,,,TRUE
Shakira,"Shakira Adds Shows In Atlanta, Houston, Phoenix",https://news.pollstar.com/2024/12/10/shakira-adds-shows-in-atlanta-houston-phoenix/,2024-12-10,2025-02-11,2025-06-30,Estadio Nacional,"Cercado de Lima, Peru",Stadium,FALSE,,,TRUE
Shakira,"Shakira Adds Shows In Atlanta, Houston, Phoenix",https://news.pollstar.com/2024/12/10/shakira-adds-shows-in-atlanta-houston-phoenix/,2024-12-10,2025-02-11,2025-06-30,Estadio Metropolitano,"Barranquilla, Colombia",Stadium,FALSE,,,TRUE
Shakira,"Shakira Adds Shows In Atlanta, Houston, Phoenix",https://news.pollstar.com/2024/12/10/shakira-adds-shows-in-atlanta-houston-phoenix/,2024-12-10,2025-02-11,2025-06-30,Estadio Metropolitano,"Barranquilla, Colombia",Stadium,FALSE,,,TRUE
Shakira,"Shakira Adds Shows In Atlanta, Houston, Phoenix",https://news.pollstar.com/2024/12/10/shakira-adds-shows-in-atlanta-houston-phoenix/,2024-12-10,2025-02-11,2025-06-30,Atanasio Girardot Stadium,"Medellín, Colombia",Stadium,FALSE,,,TRUE
Shakira,"Shakira Adds Shows In Atlanta, Houston, Phoenix",https://news.pollstar.com/2024/12/10/shakira-adds-shows-in-atlanta-houston-phoenix/,2024-12-10,2025-02-11,2025-06-30,Estadio El Campín,"Bogotá, Colombia",Stadium,FALSE,,,TRUE
Shakira,"Shakira Adds Shows In Atlanta, Houston, Phoenix",https://news.pollstar.com/2024/12/10/shakira-adds-shows-in-atlanta-houston-phoenix/,2024-12-10,2025-02-11,2025-06-30,Estadio El Campín,"Bogotá, Colombia",Stadium,FALSE,,,TRUE
Shakira,"Shakira Adds Shows In Atlanta, Houston, Phoenix",https://news.pollstar.com/2024/12/10/shakira-adds-shows-in-atlanta-houston-phoenix/,2024-12-10,2025-02-11,2025-06-30,Estadio Nacional,"Santiago, Chile",Stadium,FALSE,,,TRUE
